cand_id,name,transaction_amt
H2IN080942012,7,7
H2IN091672012,10,10
H2KS021192012,2,2
H2KY021172012,2,2
H2KY041212012,48,48
H2KY041212014,34,34
H2KY041392012,1,1
H2LA050842012,82,82
H2LA050842014,8,8
H2MA000142012,116,116
H2MA000142014,144,144
H2MA040732012,486,486
H2MA040732014,320,320
H2MA060782012,2,2
H2MA080662012,2,2
H2MA090722014,14,14
H2MA091892012,2,2
H2MD011472012,6,6
H2MD021602012,30,30
H2MD021602014,18,18
H2MD022362012,60,60
H2MD042732012,2,2
H2MD051552012,108,108
H2MD051552014,70,70
H2MD054782012,8,8
H2MD060542012,118,118
H2MD061952012,304,304
H2MD061952014,274,274
H2MD081262012,60,60
H2MD081262014,20,20
H2MD081592012,4,4
H2ME011232012,12,12
H2ME020712012,66,66
H2ME020712014,26,26
H2ME020972012,34,34
H2ME021542014,2,2
H2MI031482012,18,18
H2MI031482014,2,2
H2MI051192012,30,30
H2MI051192014,14,14
H2MI051272012,1,1
H2MI060752012,8,8
H2MI111172012,12,12
H2MI111332012,6,6
H2MI111332014,6,6
H2MI141112014,3,3
H2MI170232012,26,26
H2MI170232014,10,10
H2MN021222012,20,20
H2MN021222014,12,12
H2MN030622014,4,4
H2MN030702012,32,32
H2MN051332012,12,12
H2MN061982012,62,62
H2MN061982014,10,10
H2MN070142012,10,10
H2MN070142014,38,38
H2MN081112012,54,54
H2MN081112014,70,70
H2MO021022012,196,196
H2MO021022014,148,148
H2MO021282012,2,2
H2MO040822012,22,22
H2MO070932014,2,2
H2MO080752012,2,2
H2MS021382012,2,2
H2MT000472012,34,34
H2MT010602012,160,160
H2MT010602014,678,678
H2NC010812014,18,18
H2NC030872012,2,2
H2NC051322012,4,4
H2NC070962012,188,188
H2NC070962014,132,132
H2NC081852012,24,24
H2NC081852014,42,42
H2NC090762012,26,26
H2NC091342012,80,80
H2NC091342014,16,16
H2NC110802012,52,52
H2NC110802014,20,20
H2NC111142012,80,80
H2NC131102012,88,88
H2NC131102014,76,76
H2ND001152012,14,14
H2NJ020372012,82,82
H2NJ020372014,40,40
H2NJ031832012,78,78
H2NJ041652012,2,2
H2NJ050142012,38,38
H2NJ050142014,42,42
H2NJ052872012,4,4
H2NJ091072012,64,64
H2NJ101542012,6,6
H2NJ101542014,2,2
H2NJ111112012,16,16
H2NJ121192012,4,4
H2NM011282012,17,17
H2NM021262012,182,182
H2NM021262014,262,262
H2NM031572012,2,2
H2NM031572014,2,2
H2NV000352012,72,72
H2NV012072012,4,4
H2NV023952012,74,74
H2NV023952014,38,38
H2NV040112012,112,112
H2NV040112014,56,56
H2NV040452012,168,168
H2NV040452014,4,4
H2NY000102012,2,2
H2NY000102014,36,36
H2NY000362012,128,128
H2NY000512012,80,80
H2NY010672012,232,232
H2NY010672014,212,212
H2NY030892012,48,48
H2NY030892014,62,62
H2NY061162012,162,162
H2NY061162014,42,42
H2NY061572012,10,10
H2NY100922012,18,18
H2NY100922014,36,36
H2NY121552012,4,4
H2NY140372012,84,84
H2NY140372014,66,66
H2NY170712012,90,90
H2NY170712014,86,86
H2NY171392012,40,40
H2NY210992012,26,26
H2NY221132012,30,30
H2NY221392012,302,302
H2NY221392014,406,406
H2NY221472012,8,8
H2NY250742012,220,220
H2NY261712012,4,4
H2OH020852012,98,98
H2OH020852014,62,62
H2OH020932014,1,1
H2OH030672012,170,170
H2OH030672014,116,116
H2OH031252012,8,8
H2OH031252014,18,18
H2OH050212012,16,16
H2OH071672012,24,24
H2OH090312012,24,24
H2OH090312014,20,20
H2OH091142012,14,14
H2OH131992012,2,2
H2OH140642012,180,180
H2OH140642014,158,158
H2OH171092012,34,34
H2OH171092014,40,40
H2OK011432012,38,38
H2OK011432014,26,26
H2OK011502012,18,18
H2OK020832012,52,52
H2OK020832014,80,80
H2OK021582012,66,66
H2OK040552012,62,62
H2OK040552014,114,114
H2OR011332012,32,32
H2OR011332014,26,26
H2PA020552012,18,18
H2PA020552014,22,22
H2PA031112012,4,4
H2PA041352012,4,4
H2PA041352014,6,6
H2PA041432012,2,2
H2PA061142012,90,90
