cand_id,name,transaction_amt
H2NC110802014,336,336
H2NC111142012,522,522
H2NC120212012,186,186
H2NC131102012,902,902
H2NC131102014,632,632
H2NC131442012,30,30
H2ND001152012,550,550
H2ND001152014,12,12
H2NJ011042012,30,30
H2NJ020372012,418,418
H2NJ020372014,630,630
H2NJ021442012,64,64
H2NJ031832012,822,822
H2NJ041652012,58,58
H2NJ050142012,334,334
H2NJ050142014,430,430
H2NJ052872012,60,60
H2NJ091072012,166,166
H2NJ091072014,2,2
H2NJ091232012,2,2
H2NJ101542012,50,50
H2NJ101542014,26,26
H2NJ111112012,134,134
H2NJ121192012,88,88
H2NM011282012,284,284
H2NM021262012,764,764
H2NM021262014,966,966
H2NM021752012,46,46
H2NM031572012,136,136
H2NM031572014,148,148
H2NV000352012,854,854
H2NV012072012,42,42
H2NV023952012,632,632
H2NV023952014,240,240
H2NV040112012,1492,1492
H2NV040112014,932,932
H2NV040452012,664,664
H2NV040452014,12,12
H2NY000102012,30,30
H2NY000102014,48,48
H2NY000362012,1336,1336
H2NY000512012,1074,1074
H2NY010672012,2072,2072
H2NY010672014,1712,1712
H2NY020812012,10,10
H2NY030892012,294,294
H2NY030892014,238,238
H2NY061162012,960,960
H2NY061162014,276,276
H2NY061572012,110,110
H2NY081382012,6,6
H2NY100922012,80,80
H2NY100922014,250,250
H2NY121552012,10,10
H2NY121552014,4,4
H2NY140372012,362,362
H2NY140372014,204,204
H2NY160572012,4,4
H2NY170712012,250,250
H2NY170712014,338,338
H2NY171392012,232,232
H2NY210992012,196,196
H2NY221132012,816,816
H2NY221132014,2,2
H2NY221392012,1698,1698
H2NY221392014,1558,1558
H2NY221472012,284,284
H2NY241192012,16,16
H2NY250742012,862,862
H2NY261712012,26,26
H2OH020852012,752,752
H2OH020852014,484,484
H2OH020932014,23,23
H2OH030672012,478,478
H2OH030672014,302,302
H2OH031252012,378,378
H2OH031252014,166,166
H2OH031412012,24,24
H2OH041312012,50,50
H2OH041312014,4,4
H2OH050212012,842,842
H2OH071672012,566,566
H2OH090312012,238,238
H2OH090312014,126,126
H2OH091142012,204,204
H2OH121002012,16,16
H2OH131992012,46,46
H2OH140642012,614,614
H2OH140642014,554,554
H2OH150872012,94,94
H2OH150952014,37,37
H2OH171092012,258,258
H2OH171092014,258,258
H2OK011432012,338,338
H2OK011432014,66,66
H2OK011502012,358,358
H2OK020832012,258,258
H2OK020832014,366,366
H2OK021582012,482,482
H2OK040552012,254,254
H2OK040552014,294,294
H2OK041392012,14,14
H2OR011332012,660,660
H2OR011332014,210,210
H2OR011902012,12,12
H2PA020552012,112,112
H2PA020552014,56,56
H2PA031112012,242,242
H2PA041352012,130,130
H2PA041352014,152,152
H2PA041432012,34,34
H2PA050582012,112,112
H2PA061142012,560,560
H2PA061142014,56,56
H2PA070702012,424,424
H2PA081022012,1602,1602
H2PA090352012,360,360
H2PA090352014,400,400
H2PA090432014,13,13
H2PA090842012,14,14
H2PA100902012,304,304
H2PA110982012,510,510
H2PA110982014,394,394
H2PA131102012,168,168
H2PA140842012,34,34
H2PA150992012,24,24
H2PA150992014,2,2
H2PA160632012,80,80
H2PA160632014,4,4
H2PA170792012,752,752
H2PA170792014,594,594
H2PA170872012,78,78
H2PA181432012,638,638
H2PA181432014,362,362
H2PA181502012,538,538
H2RI011782012,394,394
H2RI021352012,52,52
H2SC010692012,72,72
H2SC020422012,184,184
H2SC020422014,124,124
H2SC020592012,252,252
H2SC020592014,140,140
H2SC041052012,4,4
H2SC050862012,24,24
H2SC050862014,2,2
H2SC070662012,658,658
H2SC070662014,178,178
H2SC071082012,168,168
H2SC071082014,232,232
H2SD001342012,1070,1070
H2TN010722012,2,2
H2TN020212012,2,2
H2TN031442012,67,67
H2TN031442014,59,59
H2TN042582012,278,278
H2TN051312012,254,254
H2TN051312014,124,124
H2TN052712012,10,10
H2TN060302012,176,176
H2TN060302014,292,292
H2TN081272012,20,20
H2TX000152012,36,36
H2TX000152014,32,32
H2TX010622012,48,48
H2TX010622014,52,52
H2TX020942012,52,52
H2TX031182012,156,156
H2TX031182014,278,278
H2TX031262012,214,214
H2TX031262014,534,534
H2TX051212012,740,740
H2TX051212014,578,578
H2TX052042012,8,8
H2TX070362012,36,36
H2TX070362014,56,56
H2TX080832012,6,6
H2TX101132012,16,16
H2TX101132014,4,4
H2TX141492012,320,320
H2TX141492014,312,312
H2TX161852012,320,320
H2TX161852014,60,60
H2TX161932012,54,54
H2TX181402012,18,18
H2TX181402014,4,4
H2TX200392012,46,46
H2TX210862012,44,44
H2TX221182012,8,8
H2TX230822012,500,500
H2TX230822014,416,416
H2TX231242012,996,996
H2TX231242014,2436,2436
H2TX241142014,3,3
H2TX241222012,12,12
H2TX252692012,54,54
H2TX260932012,80,80
H2TX260932014,178,178
H2TX261682012,12,12
H2TX271332012,218,218
H2TX271902012,50,50
H2TX271902014,348,348
H2TX272572012,14,14
H2TX280402012,34,34
H2TX290302012,118,118
H2TX290302014,164,164
H2TX300952012,20,20
H2TX310442012,114,114
H2TX310442014,434,434
H2TX320672012,84,84
H2TX320752012,44,44
H2TX330402012,488,488
H2TX330402014,708,708
H2TX330732012,142,142
H2TX330732014,378,378
H2TX331072012,4,4
H2TX331232012,46,46
H2TX350112012,438,438
H2TX350112014,552,552
H2TX350292012,98,98
H2TX350292014,140,140
H2UT010942012,46,46
H2UT010942014,180,180
H2UT012352012,254,254
H2UT012352014,336,336
H2UT023242012,180,180
H2UT023242014,186,186
H2UT023572012,50,50
H2UT032492012,18,18
H2UT040232012,3280,3280
H2UT040232014,4412,4412
H2VA010662012,144,144
H2VA020492012,1172,1172
H2VA030542012,28,28
H2VA040522012,522,522
H2VA040522014,660,660
H2VA041022012,38,38
H2VA061152012,232,232
H2VA061152014,156,156
H2VA061802012,138,138
H2VA071132012,732,732
H2VA071132014,4,4
H2VA081292012,26,26
H2VA090772012,678,678
H2VA101172012,952,952
H2VA101252012,218,218
H2VA111492012,362,362
H2VA111722012,5,5
H2VA111722014,4,4
H2VT001102014,2,2
H2WA021772012,30,30
H2WA030762012,5,5
H2WA040412012,222,222
H2WA040412014,8,8
H2WA041242012,14,14
H2WA050712012,164,164
H2WA061292012,662,662
H2WA061292014,418,418
H2WA061452012,362,362
H2WA071012012,22,22
H2WA081582012,24,24
H2WI010842012,428,428
H2WI010842014,92,92
H2WI021242012,66,66
H2WI021242014,92,92
H2WI030802012,22,22
H2WI070652012,374,374
H2WV010372014,157,157
H2WV010942012,146,146
H4AK001232014,84,84
H4AL011232014,39,39
H4AL011562014,3,3
H4AL020712014,3,3
H4AL030612014,4,4
H4AL050822014,21,21
H4AL060982014,134,134
H4AL061482014,121,121
H4AR010512014,105,105
H4AR021332014,719,719
H4AR021412014,638,638
H4AR040482014,309,309
H4AR040632014,299,299
H4AZ010382012,98,98
H4AZ010382014,86,86
H4AZ040242012,18,18
H4AZ040242014,48,48
H4AZ050882014,10,10
H4AZ060452012,63,63
H4AZ060452014,60,60
H4AZ070432014,37,37
H4CA010662014,164,164
H4CA030962014,283,283
H4CA041022014,66,66
H4CA100752014,321,321
H4CA110812012,1222,1222
H4CA110812014,562,562
H4CA120552014,1116,1116
H4CA150662014,4,4
H4CA160492012,232,232
H4CA160492014,338,338
H4CA170212012,110,110
H4CA170212014,134,134
H4CA180602014,1,1
H4CA180942014,2,2
H4CA200822012,470,470
H4CA200822014,360,360
H4CA210722014,410,410
H4CA230112012,98,98
H4CA230112014,104,104
H4CA231512014,3,3
H4CA251232014,93,93
H4CA261472014,462,462
H4CA310712014,137,137
H4CA321032014,36,36
H4CA331192014,407,407
H4CA331352014,487,487
H4CA350312014,23,23
H4CA350492014,24,24
H4CA361202014,220,220
H4CA370782014,2,2
H4CA411202014,113,113
H4CA420862014,22,22
H4CA450972014,96,96
H4CA461292014,4,4
H4CA470692014,3,3
H4CA480422014,38,38
H4CA490322012,536,536
H4CA490992014,36,36
H4CA491072014,2,2
H4CA520512014,959,959
H4CA530592014,40,40
H4CO000232014,88,88
H4CO011122014,2,2
H4CO020942014,112,112
H4CO040742014,18,18
H4CO040902014,214,214
H4CO060872014,1603,1603
H4CO070362014,62,62
H4CT030822014,7,7
H4FL011552014,1,1
H4FL020622014,495,495
H4FL031102014,35,35
H4FL040432014,4,4
H4FL050322012,4,4
H4FL060222014,8,8
H4FL070872014,1,1
H4FL080852014,17,17
H4FL090832014,50,50
H4FL090912014,6,6
H4FL091332014,2,2
H4FL110712014,37,37
H4FL130772014,14,14
H4FL131012014,296,296
